epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,299.275,0.89056,0.91784,0.97804,0.70918,0.6883,0.6235,0.48949,0.87235,1.04096,0.98696,0.0005941,0.0005941,0.0005941
43,307.618,0.86685,0.89416,0.97935,0.68069,0.66551,0.64109,0.50618,0.87647,1.05402,0.97703,0.0005842,0.0005842,0.0005842
44,315.993,0.8503,0.8701,0.96225,0.76279,0.64684,0.68315,0.55007,0.86276,1.02167,0.94525,0.0005743,0.0005743,0.0005743
45,324.306,0.84928,0.87712,0.97036,0.77578,0.66678,0.6778,0.54601,0.85984,1.03862,0.96256,0.0005644,0.0005644,0.0005644
46,331.757,0.87145,0.87925,0.96785,0.71339,0.6619,0.62796,0.49722,0.82774,0.97392,0.94483,0.0005545,0.0005545,0.0005545
47,337.631,0.84488,0.83225,0.96047,0.77731,0.6522,0.66306,0.52292,0.85293,1.0107,0.96021,0.0005446,0.0005446,0.0005446
48,344.699,0.86261,0.82564,0.96773,0.80355,0.64193,0.65677,0.51364,0.88864,0.9666,0.96526,0.0005347,0.0005347,0.0005347
49,353.22,0.83088,0.78706,0.96014,0.7662,0.70234,0.67625,0.53304,0.8494,0.97509,0.953,0.0005248,0.0005248,0.0005248
50,361.526,0.79591,0.79271,0.94774,0.73902,0.6874,0.66095,0.51961,0.87772,0.99504,0.95411,0.0005149,0.0005149,0.0005149
51,369.613,0.8328,0.78411,0.9587,0.78916,0.58525,0.67105,0.50974,0.90556,0.98963,0.98331,0.000505,0.000505,0.000505
52,378.258,0.8475,0.803,0.97457,0.7921,0.64198,0.68929,0.54899,0.84053,0.98419,0.94814,0.0004951,0.0004951,0.0004951
53,386.314,0.80707,0.7533,0.93977,0.75264,0.67865,0.6376,0.51772,0.79445,1.00523,0.92893,0.0004852,0.0004852,0.0004852
54,394.798,0.82001,0.78397,0.94866,0.80775,0.65185,0.6491,0.52197,0.78825,0.95492,0.92317,0.0004753,0.0004753,0.0004753
55,402.811,0.79424,0.78666,0.92337,0.61184,0.75299,0.65309,0.53054,0.76817,0.97625,0.91926,0.0004654,0.0004654,0.0004654
56,411.381,0.78793,0.76372,0.95277,0.47162,0.71247,0.58714,0.47603,0.78178,1.03729,0.9188,0.0004555,0.0004555,0.0004555
57,418.84,0.79763,0.73822,0.95065,0.5437,0.73182,0.6462,0.521,0.82962,1.01562,0.94482,0.0004456,0.0004456,0.0004456
58,424.87,0.77904,0.75732,0.9405,0.54371,0.69393,0.63616,0.51471,0.81661,0.98517,0.92835,0.0004357,0.0004357,0.0004357
59,431.606,0.76572,0.75053,0.93126,0.57629,0.74944,0.66792,0.54272,0.77783,0.9318,0.92192,0.0004258,0.0004258,0.0004258
60,440.043,0.75566,0.69586,0.93158,0.75596,0.69874,0.64455,0.52763,0.76361,0.94702,0.92398,0.0004159,0.0004159,0.0004159
61,448.184,0.76965,0.73702,0.94489,0.7878,0.64791,0.64269,0.52558,0.79189,0.95735,0.92894,0.000406,0.000406,0.000406
62,456.633,0.75959,0.71162,0.92293,0.66743,0.74119,0.67656,0.56134,0.79209,0.91745,0.92404,0.0003961,0.0003961,0.0003961
63,465.06,0.75442,0.70375,0.92678,0.65297,0.77264,0.6791,0.55825,0.78013,0.92358,0.92778,0.0003862,0.0003862,0.0003862
64,473.36,0.7978,0.71862,0.93801,0.64465,0.71,0.66336,0.54871,0.73284,0.92079,0.91026,0.0003763,0.0003763,0.0003763
65,481.675,0.74246,0.68188,0.933,0.7772,0.70496,0.6909,0.57886,0.75429,0.91941,0.91242,0.0003664,0.0003664,0.0003664
66,489.833,0.75003,0.66708,0.93865,0.65104,0.77268,0.69821,0.59241,0.73122,0.92833,0.90346,0.0003565,0.0003565,0.0003565
67,498.504,0.71834,0.65037,0.90905,0.76266,0.72202,0.69253,0.58269,0.73757,0.91671,0.90457,0.0003466,0.0003466,0.0003466
68,505.778,0.73683,0.66954,0.92322,0.70134,0.72354,0.68078,0.57011,0.76365,0.97035,0.91619,0.0003367,0.0003367,0.0003367
69,512.479,0.7481,0.66715,0.91652,0.6505,0.74572,0.70449,0.58882,0.77431,0.99706,0.92836,0.0003268,0.0003268,0.0003268
70,519.548,0.726,0.65105,0.91719,0.67981,0.75433,0.68889,0.57311,0.77852,0.96006,0.92728,0.0003169,0.0003169,0.0003169
71,528.017,0.74738,0.65462,0.92251,0.59827,0.76445,0.65517,0.53583,0.81225,0.98642,0.9406,0.000307,0.000307,0.000307
72,536.386,0.72275,0.63575,0.92516,0.69586,0.72726,0.69072,0.5766,0.73039,0.95168,0.9135,0.0002971,0.0002971,0.0002971
73,544.842,0.68989,0.62045,0.89354,0.72551,0.73285,0.68728,0.57908,0.72844,0.99396,0.9123,0.0002872,0.0002872,0.0002872
74,553.027,0.71522,0.65187,0.91846,0.75087,0.74176,0.69588,0.58287,0.71575,0.94833,0.91303,0.0002773,0.0002773,0.0002773
75,561.565,0.71249,0.6317,0.91095,0.70388,0.71525,0.69474,0.5857,0.70021,0.93513,0.90277,0.0002674,0.0002674,0.0002674
76,569.7,0.70003,0.62742,0.90397,0.72266,0.75127,0.6891,0.59519,0.6949,0.95579,0.89621,0.0002575,0.0002575,0.0002575
77,578.209,0.70313,0.60007,0.9043,0.73989,0.75337,0.70711,0.60262,0.71742,0.91812,0.90132,0.0002476,0.0002476,0.0002476
78,586.745,0.68951,0.61099,0.90288,0.76798,0.72943,0.70952,0.60183,0.71051,0.93301,0.90585,0.0002377,0.0002377,0.0002377
79,593.935,0.69523,0.62145,0.90254,0.71655,0.75874,0.69875,0.58657,0.72669,0.94691,0.91313,0.0002278,0.0002278,0.0002278
80,599.846,0.69329,0.57791,0.91083,0.68611,0.75666,0.68648,0.5867,0.72206,0.97974,0.91064,0.0002179,0.0002179,0.0002179
81,607.233,0.68356,0.59396,0.91368,0.75557,0.75048,0.70099,0.60208,0.69797,0.93059,0.90299,0.000208,0.000208,0.000208
82,615.678,0.67399,0.60608,0.89533,0.7553,0.74675,0.71128,0.61332,0.71666,0.92046,0.90528,0.0001981,0.0001981,0.0001981
83,624.169,0.65489,0.57502,0.88678,0.75593,0.75753,0.68748,0.58923,0.70465,0.94942,0.89987,0.0001882,0.0001882,0.0001882
84,632.407,0.6636,0.5769,0.89952,0.73817,0.73388,0.69336,0.59877,0.69289,0.93622,0.8943,0.0001783,0.0001783,0.0001783
85,640.431,0.64174,0.56549,0.8897,0.76549,0.75503,0.6877,0.59734,0.65394,0.89939,0.88021,0.0001684,0.0001684,0.0001684
86,648.926,0.64743,0.55462,0.88239,0.73807,0.72613,0.68703,0.58649,0.69299,0.95224,0.90082,0.0001585,0.0001585,0.0001585
87,657.138,0.65211,0.57563,0.88734,0.7515,0.75733,0.6979,0.60025,0.65541,0.8985,0.88887,0.0001486,0.0001486,0.0001486
88,665.451,0.643,0.57695,0.90288,0.7471,0.74741,0.69345,0.59478,0.67943,0.90415,0.89548,0.0001387,0.0001387,0.0001387
89,673.396,0.65087,0.55807,0.89831,0.72561,0.76149,0.68906,0.59511,0.65712,0.9156,0.88801,0.0001288,0.0001288,0.0001288
90,681.066,0.62932,0.5337,0.88335,0.71272,0.77042,0.69344,0.58813,0.66883,0.91968,0.89183,0.0001189,0.0001189,0.0001189
91,688.537,0.59052,0.50065,0.86633,0.75466,0.72701,0.70436,0.60765,0.67387,0.94494,0.89636,0.000109,0.000109,0.000109
92,697.201,0.57998,0.49966,0.85521,0.76832,0.72533,0.69618,0.6014,0.69679,0.95965,0.90121,9.91e-05,9.91e-05,9.91e-05
93,705.176,0.56494,0.46241,0.85464,0.74468,0.73864,0.70887,0.61697,0.68827,0.954,0.89892,8.92e-05,8.92e-05,8.92e-05
94,713.964,0.56298,0.45031,0.85824,0.7389,0.76103,0.70548,0.61055,0.69301,0.94266,0.90234,7.93e-05,7.93e-05,7.93e-05
95,722.169,0.57715,0.47069,0.84942,0.73945,0.74885,0.70798,0.61335,0.70021,0.94151,0.9075,6.94e-05,6.94e-05,6.94e-05
96,730.291,0.54476,0.44524,0.8598,0.74539,0.75789,0.71298,0.61801,0.69106,0.92498,0.90319,5.95e-05,5.95e-05,5.95e-05
97,738.84,0.56257,0.45052,0.85522,0.74014,0.75708,0.71303,0.62082,0.6815,0.92397,0.89978,4.96e-05,4.96e-05,4.96e-05
98,747.084,0.55682,0.4389,0.86285,0.74873,0.76114,0.71456,0.62395,0.66224,0.91183,0.89286,3.97e-05,3.97e-05,3.97e-05
99,755.542,0.53589,0.43153,0.85792,0.7478,0.75745,0.71352,0.62561,0.66205,0.92168,0.89282,2.98e-05,2.98e-05,2.98e-05
100,763.73,0.53817,0.44155,0.84673,0.75123,0.75128,0.7148,0.62789,0.6605,0.91768,0.89076,1.99e-05,1.99e-05,1.99e-05
