epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,20.7363,0.97808,3.2213,0.81256,0.78379,1.06107,0.11882,1,0.16583,0.09002,0.30955,0.92864,0.33167,0.07048,1.64127,8.08532,0.77534,2.53225,1.64421,0.00085645,0.00085645,0.00085645
31,21.3475,1.00163,4.21489,0.91469,0.81124,1.02862,0.31638,1,0.33167,0.16583,0.18359,0.91796,0.199,0.09204,2.10323,8.52447,0.76838,2.49774,1.90841,0.0008515,0.0008515,0.0008515
32,21.9211,0.91289,2.90312,0.80364,0.73709,1.07145,0.31638,1,0.33167,0.16583,0.18359,0.91796,0.199,0.09204,2.10323,8.52447,0.76838,2.49774,1.90841,0.00084655,0.00084655,0.00084655
33,22.5063,1.00765,3.75233,0.88718,0.85659,1.11795,0.46745,0.9349,0.4975,0.21257,0.00885,1,0.08292,0.04975,2.13065,8.45636,0.75733,4.19362,2.25227,0.0008416,0.0008416,0.0008416
34,23.1929,0.92245,4.24509,0.93524,0.75019,1.05735,0.46745,0.9349,0.4975,0.21257,0.00885,1,0.08292,0.04975,2.13065,8.45636,0.75733,4.19362,2.25227,0.00083665,0.00083665,0.00083665
35,23.7651,0.88378,2.62678,0.79295,0.70823,1.03939,0.28545,1,0.33167,0.15754,0.01389,1,0.04975,0.02488,2.189,9.05173,0.75667,3.91414,2.27659,0.0008317,0.0008317,0.0008317
36,24.3286,0.99681,3.46852,0.82813,0.79614,1.08142,0.18394,1,0.199,0.0796,0.01818,1,0.04975,0.02203,2.73542,9.6079,0.75325,4.71832,2.54565,0.00082675,0.00082675,0.00082675
37,24.89,0.92075,3.87664,0.88158,0.79867,1.04148,0.18394,1,0.199,0.0796,0.01818,1,0.04975,0.02203,2.73542,9.6079,0.75325,4.71832,2.54565,0.0008218,0.0008218,0.0008218
38,25.4757,0.90631,3.05677,0.77773,0.75327,1.06003,0.32033,1,0.33167,0.0995,0.02041,1,0.05853,0.0204,2.52894,9.05871,0.74438,3.96089,2.52603,0.00081685,0.00081685,0.00081685
39,26.0549,0.95201,2.60157,0.79014,0.77933,1.09523,0.30702,1,0.33167,0.199,0.02273,1,0.0995,0.02514,2.04827,9.3546,0.74572,2.6645,2.17139,0.0008119,0.0008119,0.0008119
40,26.5964,0.88129,3.07285,0.80399,0.78171,1.09944,0.30702,1,0.33167,0.199,0.02273,1,0.0995,0.02514,2.04827,9.3546,0.74572,2.6645,2.17139,0.00080695,0.00080695,0.00080695
41,27.1565,0.87874,3.67014,0.80723,0.70419,1.0142,0.47066,1,0.4975,0.34825,0.02326,1,0.08292,0.0308,1.63543,9.63138,0.73282,2.10141,1.79142,0.000802,0.000802,0.000802
42,27.782,0.93528,3.52121,0.77186,0.80291,1.03409,0.47066,1,0.4975,0.34825,0.02326,1,0.08292,0.0308,1.63543,9.63138,0.73282,2.10141,1.79142,0.00079705,0.00079705,0.00079705
