epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,183.031,1.2484,1.36593,1.17268,0.48376,0.45517,0.45062,0.28475,1.19758,1.62648,1.10389,0.0008944,0.0008944,0.0008944
19,125.383,1.35426,1.70044,1.25236,0.61506,0.40691,0.42034,0.27784,1.2429,1.53335,1.1345,0.0009406,0.0009406,0.0009406
34,189.36,1.2475,1.38534,1.18007,0.61825,0.55133,0.47853,0.30872,1.20615,1.5039,1.10177,0.0008911,0.0008911,0.0008911
20,131.684,1.34379,1.67763,1.22407,0.53506,0.54216,0.40411,0.25567,1.23939,1.56812,1.13071,0.0009373,0.0009373,0.0009373
35,195.595,1.21638,1.35682,1.14822,0.60451,0.49781,0.43842,0.27977,1.22937,1.5046,1.12031,0.0008878,0.0008878,0.0008878
21,137.898,1.3113,1.6381,1.19784,0.44186,0.43163,0.42069,0.26899,1.21641,1.76612,1.12232,0.000934,0.000934,0.000934
36,201.727,1.18688,1.30705,1.13703,0.62767,0.54032,0.46022,0.2998,1.20321,1.47932,1.09248,0.0008845,0.0008845,0.0008845
22,144.136,1.29456,1.58155,1.18784,0.61585,0.43293,0.42919,0.28413,1.15711,1.63834,1.11128,0.0009307,0.0009307,0.0009307
37,207.917,1.27319,1.39114,1.18555,0.64338,0.53047,0.47325,0.31992,1.1192,1.48216,1.08429,0.0008812,0.0008812,0.0008812
23,150.285,1.33931,1.59485,1.2056,0.60147,0.40833,0.40826,0.27676,1.06481,1.62466,1.06907,0.0009274,0.0009274,0.0009274
38,214.593,1.21435,1.37869,1.15298,0.62866,0.51396,0.44756,0.30048,1.10223,1.50909,1.08702,0.0008779,0.0008779,0.0008779
24,156.834,1.31814,1.59376,1.20887,0.54996,0.53782,0.42106,0.2652,1.23242,1.70061,1.12412,0.0009241,0.0009241,0.0009241
39,221.072,1.23762,1.56564,1.18447,0.58185,0.56669,0.43071,0.27903,1.24283,1.50932,1.14581,0.0008746,0.0008746,0.0008746
25,163.277,1.29364,1.51983,1.18559,0.64469,0.47313,0.46932,0.31642,1.19003,1.76358,1.10395,0.0009208,0.0009208,0.0009208
40,227.249,1.25536,1.36977,1.17904,0.63062,0.48022,0.46148,0.30269,1.28644,1.4155,1.14788,0.0008713,0.0008713,0.0008713
26,169.558,1.26451,1.49211,1.18061,0.63904,0.48066,0.48128,0.31085,1.16402,1.49102,1.08397,0.0009175,0.0009175,0.0009175
41,233.376,1.20007,1.32043,1.13728,0.50845,0.51709,0.49175,0.32567,1.24018,1.42955,1.13174,0.000868,0.000868,0.000868
27,175.778,1.29187,1.51034,1.17892,0.65953,0.43322,0.46191,0.30852,1.14697,1.40725,1.08927,0.0009142,0.0009142,0.0009142
42,239.874,1.15717,1.30767,1.1278,0.61922,0.58762,0.50581,0.33773,1.23742,1.39416,1.12399,0.0008647,0.0008647,0.0008647
28,182.019,1.27134,1.47742,1.18496,0.56297,0.4999,0.44612,0.28079,1.24466,1.51817,1.12411,0.0009109,0.0009109,0.0009109
29,188.369,1.28463,1.47779,1.17708,0.6242,0.51042,0.49,0.29208,1.42116,1.66674,1.2069,0.0009076,0.0009076,0.0009076
43,246.47,1.20036,1.37422,1.14934,0.6428,0.54195,0.49344,0.32522,1.24309,1.51471,1.12846,0.0008614,0.0008614,0.0008614
30,195.138,1.26165,1.49475,1.18026,0.58501,0.54836,0.46399,0.28943,1.33967,1.45962,1.14564,0.0009043,0.0009043,0.0009043
44,253.156,1.19064,1.28016,1.1354,0.49579,0.5739,0.51341,0.34228,1.25852,1.45653,1.12669,0.0008581,0.0008581,0.0008581
31,201.537,1.29354,1.45362,1.19886,0.38402,0.55803,0.45186,0.28754,1.15123,1.54084,1.09921,0.000901,0.000901,0.000901
45,259.707,1.17955,1.25403,1.14096,0.68463,0.55541,0.53463,0.37541,1.06939,1.36452,1.05684,0.0008548,0.0008548,0.0008548
32,207.886,1.28273,1.37448,1.19427,0.57907,0.5106,0.44206,0.28847,1.15732,1.54375,1.09496,0.0008977,0.0008977,0.0008977
46,265.969,1.15789,1.25111,1.1123,0.66132,0.59653,0.53509,0.38104,1.13751,1.38964,1.08219,0.0008515,0.0008515,0.0008515
33,214.019,1.2484,1.36593,1.17268,0.48376,0.45517,0.45062,0.28475,1.19758,1.62648,1.10389,0.0008944,0.0008944,0.0008944
